Flowerspecies,pollen_g/flower,nectar_ml/flower,proteinPollenProp,concentration_mol/l,startDay,stopDay,corollaDepth_mm,intFlowerTime_s
"""Alsike_clover""",0.0005,0.00046,0.2,0.7,181,242,10,0.6
"""American_willowherb""",0.00002,0.00035,0.2,1.34,152,243,3.5,0.6
"""Average_Willow""",0.01,0.00261,0.25,1.13,59,119,0,0.6
"""Bell_heather""",0.00073,0.0002,0.018285,1.17,121,334,5.5,0.6
"""Birdsfoot_trefoil""",0.00036,0.00035,0.31,0.96,120,303,9,0.6
"""Blackthorn""",0.00014,0.00009,0.23,0.77,59,150,0,0.6
"""Bramble""",0.00048,0.00682,0.21,0.5,120,272,0,0.6
"""Buckwheat""",0.00008,0.00011,0.11,1.33,162,222,0.5,0.6
"""Bugle""",0.00065,0.00044,0.14,0.67,120,211,10,0.6
"""Burdock""",0.00043,0.00229,0.11,0.88,181,272,3.9,0.6
"""Buttercup""",0.00077,0.0002,0.12,0.71,120,303,0,0.6
"""Charlock""",0.00026,0.00001,0.24,1.74,121,212,5.1,0.6
"""Chicory""",0.00086,0.00184,0.13,1.74,172,256,6.33,0.6
"""Comfrey""",0.00095,0.00432,0.17,0.98,120,211,17,0.6
"""Common_bluebell""",0.00188,0,0.36,0,90,180,0,0.6
"""Common_cats_ear""",0.43,0.00309,0.15,1.74,152,273,0,0.6
"""Common_field_speedwell""",0.00003,0.00049,0.08,0.1,1,365,0.5,0.6
"""Common_fumitory""",0,0.00003,0.24,1.83,121,304,7.5,0.6
"""Common_knapweed""",0.00239,0.00229,0.21,1.54,151,272,3,0.6
"""Common_mouse_ear""",0.01,0.00003,0.1,1.55,91,273,0,0.6
"""Common_vetch""",0.00038,0.00086,0.42,0.81,120,272,7,0.6
"""Creeping_buttercup""",0.00043,0.00035,0.1,0.85,121,304,0,0.6
"""Crop_Apple""",0.0017,0.0006,0.23,0.39,97,125,0.3,0.6
"""Crop_Cereals""",0,0,0,0,0,0,0,0.6
"""Crop_Field_beans""",0.00065,0.00086,0.2,1.28,153,182,19,0.6
"""Crop_Maize""",0.03,0,0.2,0,197,210,0,0.6
"""Crop_Oilseed_rape""",0.00024,0.00055,0.2,1.5,114,136,5,0.6
"""Cross_leaved_heath""",0.003,0.0002,0.31,1.17,152,273,6.5,0.6
"""Daisy""",0.22,0.00012,0.1,1.74,1,365,0,0.6
"""Dandelion""",0.00122,0.00154,0.09,1.07,1,364,1.2,0.6
"""Dog_rose""",0.00067,0,0.11,0,151,211,0,0.6
"""Field_pansy""",0.00097,0.00018,0.17,0.88,91,304,15,0.6
"""Field_scabious""",0.00488,0.0015,0.13,0.25,181,272,0,0.6
"""Field_woundwort""",0.0008,0.00087,0.14,1.04,91,334,5,0.6
"""Foxglove""",0.02,0.00163,0.21,0.82,151,272,7,0.6
"""Germander_speedwell""",0.00164,0.00033,0.08,0.1,60,212,0.5,0.6
"""Giant_bindweed""",0.00091,0.00995,0.26,0.66,181,272,0,0.6
"""Gorse""",0.00411,0.00002,0.22,1.74,60,273,13,0.6
"""Greater_birdsfoot_trefoil""",0.00098,0.00015,0.35,0.69,152,243,9,0.6
"""Greater_knapweed""",0.0024,0,0.26,0,181,272,13.6,0.6
"""Ground_ivy""",0.00046,0.00105,0.16,1.01,59,150,7,0.6
"""Hawthorn""",0.00016,0.00188,0.15,1.02,120,180,0,0.6
"""Heath_speedwell""",0.03,0.00003,0.2,1.37,121,304,3,0.6
"""Hedge_bindweed""",0.01,0.00715,0.13,1.4,182,273,0,0.6
"""Hedge_woundwort""",0.0008,0.00146,0.19,1.04,181,242,9,0.6
"""Ling""",0,0.0001,0.18,1.17,182,273,4,0.6
"""Marsh_thistle""",0.00505,0.00064,0.14,0.89,181,272,3,0.6
"""Meadow_buttercup""",0.0003,0.00026,0.17,0.94,121,304,0,0.6
"""Meadowsweet""",0.0077,0,0.19,1.74,152,273,0,0.6
"""Oilseed_rape""",0.00151,0.01,0.21,1.41,120,242,5,0.6
"""Ox-eye_daisy""",0.00122,0.00086,0.18,1.74,152,243,0,0.6
"""Phacelia""",0.00047,0.00028,0.3,1.64,152,243,7.5,0.6
"""Prickly_sow_thistle""",0.00045,0.00183,0.24,0.94,152,243,8.25,0.6
"""Ragwort""",0.00017,0,0.15,0,151,303,0,0.6
"""Red_campion""",0.0004,0.00335,0.15,2.35,91,273,16.1,0.6
"""Red_clover""",0.00018,0.00032,0.26,0.97,120,272,10,0.6
"""Red_dead_nettle""",0.00024,0.00282,0.14,1.37,59,303,7,0.6
"""Redshank""",0,0.00006,0.24,1.74,121,304,0.75,0.6
"""Ribwort_plantain""",0.00007,0,0.17,0.87,91,304,2.5,0.6
"""Rosebay_willowherb""",0.00612,0.00024,0.15,0.87,181,272,0,0.6
"""Salad_burnet""",0,0.00011,0,0,121,243,0,0.6
"""Scarlet_pimpernel""",0.00019,0,0.19,0,152,243,0,0.6
"""Selfheal""",0.00019,0.00039,0.2,0.87,151,272,8,0.6
"""Silverweed""",0.00053,0.00001,0.12,2.17,152,243,0,0.6
"""Smooth_hawksbeard""",0.00017,0.00001,0.1,1.34,152,273,3.8,0.6
"""Spear_thistle""",0.00254,0.00306,0.18,1.51,151,303,6.2,0.6
"""St_Johns_wort""",0.0005,0,0.13,0,151,272,0,0.6
"""Sunflower""",0.35,0.02,0.15,0.7,237,264,3.29,0.6
"""Tormentil""",0.00395,0.00004,0.16,2.17,152,273,0,0.6
"""Tufted_vetch""",0.00044,0.0007,0.12,0.61,151,242,6.8,0.6
"""Vipers_bugloss""",0.00071,0.00104,0.26,1.2,151,272,6.7,0.6
"""White_clover""",0.00014,0.00038,0.29,0.97,151,272,2,0.6
"""White_dead_nettle""",0.0007,0.00217,0.21,0.75,120,364,7.7,0.6
"""White_mustard""",0.00019,0.00061,0.24,0.9,152,243,4.2,0.6
"""Wild_carrot""",0.00002,0.00002,0.16,0.88,152,243,0,0.6
"""Wild_radish""",0.0007,0.00016,0.24,2.24,121,277,11.96,0.6
"""Wild_teasel""",0.01,0.00976,0.17,1.08,181,242,10,0.6
"""Yarrow""",0.00019,0.00003,0.08,1.79,152,243,2.4,0.6
"""Yellow_rattle""",0.01,0.00025,0.2,0.917323,121,243,13,0.6
